,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,goderich,43.75,-81.72,47.98,87,100,23.67,CA,1603504213
1,jamestown,42.1,-79.24,67.44,60,75,12.75,US,1603504426
2,souillac,-20.52,57.52,73.4,73,40,11.41,MU,1603504369
3,saint-philippe,-21.36,55.77,68.56,73,20,5.82,RE,1603504374
4,cabra,37.47,-4.44,57.99,81,0,0.29,ES,1603504384
5,saskylakh,71.92,114.08,17.02,96,100,8.23,RU,1603504395
6,tuatapere,-46.13,167.68,72.0,49,100,11.99,NZ,1603504400
7,vestmannaeyjar,63.44,-20.27,43.74,75,99,15.17,IS,1603504405
8,hermanus,-34.42,19.23,64.0,91,95,4.21,ZA,1603504410
9,yerbogachen,61.28,108.01,29.57,96,35,7.23,RU,1603504415
10,dikson,73.51,80.55,23.32,92,100,12.8,RU,1603504228
11,puerto ayora,-0.74,-90.35,69.01,93,32,1.01,EC,1603504426
12,avarua,-21.21,-159.78,77.0,73,59,14.99,CK,1603504431
13,constitucion,-35.33,-72.42,50.07,81,0,9.35,CL,1603504436
14,saint-georges,12.06,-61.75,78.8,94,40,23.04,GD,1603504441
15,rikitea,-23.12,-134.97,74.05,82,100,15.59,PF,1603504446
16,zhangye,38.93,100.45,53.15,36,0,2.62,CN,1603504451
17,kodiak,57.79,-152.41,46.4,93,90,18.34,US,1603504456
18,narrabri,-30.32,149.78,69.8,83,90,21.92,AU,1603504845
19,busselton,-33.65,115.33,68.32,32,0,9.73,AU,1603504845
20,sao joao da barra,-21.64,-41.05,73.08,80,99,13.91,BR,1603504845
21,chuy,-33.7,-53.46,61.52,98,48,3.91,UY,1603504849
22,qasigiannguit,68.82,-51.19,21.2,62,92,1.12,GL,1603504849
23,ahuimanu,21.44,-157.84,78.84,83,90,7.7,US,1603504854
24,hobart,-42.88,147.33,58.17,62,75,14.99,AU,1603504766
25,ushibuka,32.19,130.02,61.47,65,71,19.33,JP,1603504817
26,talnakh,69.49,88.4,-4.0,83,40,8.95,RU,1603504854
27,baruun-urt,46.68,113.28,39.54,62,31,13.13,MN,1603504854
28,yellowknife,62.46,-114.35,21.97,73,40,6.93,CA,1603504622
29,albany,42.6,-73.97,62.78,84,15,7.83,US,1603504855
30,atuona,-9.8,-139.03,78.84,71,0,18.43,PF,1603504855
31,punta arenas,-53.15,-70.92,44.29,65,75,5.82,CL,1603504855
32,provideniya,64.38,-173.3,34.0,89,100,12.44,RU,1603504855
33,aneho,6.23,1.6,78.8,88,20,6.93,TG,1603504855
34,son la,21.32,103.9,67.19,69,100,0.81,VN,1603504855
35,cerro largo,-28.15,-54.74,70.0,76,99,4.68,BR,1603504855
36,villanueva,15.32,-88.0,82.65,74,40,10.29,HN,1603504856
37,hede,33.77,120.25,60.84,38,0,6.17,CN,1603504675
38,havre-saint-pierre,50.23,-63.6,35.6,79,90,10.29,CA,1603504856
39,peniche,39.36,-9.38,53.06,88,88,4.0,PT,1603504856
40,mataura,-46.19,168.86,71.01,50,78,13.0,NZ,1603504856
41,half moon bay,37.46,-122.43,58.35,87,1,4.7,US,1603504856
42,zhigalovo,54.81,105.16,38.28,81,98,1.72,RU,1603504856
43,takoradi,4.88,-1.76,76.78,90,58,5.48,GH,1603504865
44,altagracia de orituco,9.86,-66.38,72.61,94,35,4.16,VE,1603504865
45,port moresby,-9.44,147.18,82.4,78,75,17.22,PG,1603504866
46,ponta do sol,32.67,-17.1,61.74,68,40,8.05,PT,1603504866
47,alekseyevsk,57.84,108.35,35.15,86,100,0.67,RU,1603504870
48,bambous virieux,-20.34,57.76,71.8,73,40,11.41,MU,1603504727
49,carnarvon,-24.87,113.63,77.0,53,0,19.46,AU,1603504874
50,saint-augustin,51.23,-58.65,34.34,83,76,1.28,CA,1603504874
51,port alfred,-33.59,26.89,69.28,86,99,17.63,ZA,1603504875
52,sakakah,29.97,40.21,66.2,17,0,3.36,SA,1603504879
53,narsaq,60.92,-46.05,28.4,74,98,3.36,GL,1603504879
54,dongsheng,39.82,109.98,47.35,45,46,12.46,CN,1603504879
55,chokurdakh,70.63,147.92,10.51,92,96,7.23,RU,1603504879
56,mar del plata,-38.0,-57.56,56.97,100,75,3.36,AR,1603504611
57,severo-kurilsk,50.68,156.12,43.57,86,100,37.18,RU,1603504880
58,tiksi,71.69,128.87,24.98,93,36,22.79,RU,1603504880
59,bathsheba,13.22,-59.52,84.2,70,40,24.16,BB,1603504880
60,ilulissat,69.22,-51.1,21.2,62,95,1.12,GL,1603504714
61,bluff,-46.6,168.33,71.01,50,100,13.0,NZ,1603504881
62,vaini,-21.2,-175.2,78.8,74,40,13.87,TO,1603504611
